date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:19	74299/74299	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:19%20GMT	http://www.shivamahindra.in/new-cars/mahindra-bolero/specification.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/new-cars/mahindra-bolero/specification.html	(from http://www.shivamahindra.in/new-cars/mahindra-bolero.html)
10:53:21	180187/180187	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:20%20GMT	http://www.shivamahindra.in/mahindra-bolero/mahindra-bolero-b4.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/mahindra-bolero/mahindra-bolero-b4.html	(from http://www.shivamahindra.in/new-cars/mahindra-bolero.html)
10:53:22	180194/180194	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:20%20GMT	http://www.shivamahindra.in/mahindra-bolero/mahindra-bolero-b6.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/mahindra-bolero/mahindra-bolero-b6.html	(from http://www.shivamahindra.in/new-cars/mahindra-bolero.html)
10:53:22	36564/36564	---M--	200	added ('OK')	image/jpeg	etag:%225f327776-8ed4%22	http://www.shivamahindra.in/themes/mahindra-rise/image/tstimg.jpg	C:/Users/HP/Desktop/siva/www.shivamahindra.in/themes/mahindra-rise/image/tstimg.jpg	(from http://www.shivamahindra.in/testimonial.html)
10:53:23	180335/180335	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:22%20GMT	http://www.shivamahindra.in/mahindra-bolero/mahindra-bolero-b6-opt.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/mahindra-bolero/mahindra-bolero-b6-opt.html	(from http://www.shivamahindra.in/new-cars/mahindra-bolero.html)
10:53:24	40042/40042	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:23%20GMT	http://www.shivamahindra.in/faq.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/faq.html	(from http://www.shivamahindra.in/sitemap.html)
10:53:25	43383/43383	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:24%20GMT	http://www.shivamahindra.in/offers.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/offers.html	(from http://www.shivamahindra.in/sitemap.html)
10:53:25	40352/40352	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:25%20GMT	http://www.shivamahindra.in/career.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/career.html	(from http://www.shivamahindra.in/sitemap.html)
10:53:27	55009/55009	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:25%20GMT	http://www.shivamahindra.in/mahindramarazzo.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/mahindramarazzo.html	(from http://www.shivamahindra.in/sitemap.html)
10:53:28	51296/51296	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:26%20GMT	http://www.shivamahindra.in/mahindra-xuv-300-sec-page.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/mahindra-xuv-300-sec-page.html	(from http://www.shivamahindra.in/sitemap.html)
